outcome_voted,control_group,treat_civic,treat_hawthorne,treat_self,treat_neighbors,sex,age,g2000,g2002,median_income,p2004,democrat
0,0,0,0,1,0,female,46,1,0,52688,1,1
1,0,0,0,1,0,female,38,1,1,37774,1,0
1,1,0,0,0,0,male,57,1,0,70230,1,1
0,1,0,0,0,0,male,41,1,1,35644,0,0
0,1,0,0,0,0,female,35,1,1,46908,1,0
0,1,0,0,0,0,male,44,1,1,63693,1,0
0,1,0,0,0,0,male,38,1,1,68383,0,0
0,1,0,0,0,0,female,49,1,1,64891,0,0
1,0,0,0,0,1,female,49,1,1,48676,0,0
0,0,0,1,0,0,female,63,1,1,45863,0,1
0,1,0,0,0,0,male,50,1,1,41719,0,0
0,0,0,0,1,0,female,45,1,1,54628,0,0
0,1,0,0,0,0,female,73,1,1,51003,1,0
0,1,0,0,0,0,male,24,0,0,36726,0,0
1,1,0,0,0,0,female,63,1,1,48821,1,1
1,0,0,1,0,0,female,76,1,1,50658,1,0
0,1,0,0,0,0,female,85,1,1,52579,1,1
1,0,0,0,0,1,female,43,1,1,49306,1,0
0,0,1,0,0,0,female,58,1,1,85333,0,0
0,0,0,0,0,1,female,50,1,1,51857,0,0
1,1,0,0,0,0,female,34,1,1,50514,1,0
0,1,0,0,0,0,male,49,1,1,92552,0,0
1,1,0,0,0,0,female,52,0,0,57473,1,0
0,0,0,0,0,1,female,42,1,1,109088,0,0
0,1,0,0,0,0,female,50,1,1,51109,0,0
0,1,0,0,0,0,male,59,1,1,46822,1,0
0,1,0,0,0,0,male,24,0,1,76342,1,0
0,1,0,0,0,0,male,48,1,1,85674,0,0
1,1,0,0,0,0,female,62,1,1,85920,1,1
0,1,0,0,0,0,female,27,1,1,51220,1,0
0,1,0,0,0,0,female,46,1,1,76342,1,0
0,1,0,0,0,0,female,42,1,1,56426,1,0
0,1,0,0,0,0,female,47,1,1,76342,0,0
0,1,0,0,0,0,male,56,1,1,57969,1,0
0,0,0,0,1,0,female,48,0,1,57080,0,0
0,1,0,0,0,0,male,43,1,1,77596,0,0
1,0,0,0,1,0,male,39,1,1,67893,0,0
0,1,0,0,0,0,female,53,1,1,51857,1,0
1,0,0,0,1,0,female,68,1,1,45994,0,0
0,1,0,0,0,0,female,65,1,1,60846,0,0
1,0,0,0,0,1,male,25,0,0,53660,0,0
0,1,0,0,0,0,female,56,1,1,54079,0,0
0,0,0,1,0,0,female,38,0,1,68383,1,0
1,1,0,0,0,0,male,69,1,1,97699,0,0
0,1,0,0,0,0,male,83,1,1,45084,1,0
1,0,0,1,0,0,male,49,1,1,53377,1,0
0,0,0,0,1,0,male,72,1,1,63560,0,0
0,1,0,0,0,0,female,56,1,1,78049,1,0
0,1,0,0,0,0,female,26,1,1,48539,1,1
0,1,0,0,0,0,female,62,1,1,47606,0,0
1,0,1,0,0,0,male,67,1,1,61070,1,0
0,0,0,0,1,0,female,29,1,1,76342,1,0
1,1,0,0,0,0,female,64,1,1,64212,1,0
0,1,0,0,0,0,male,40,1,1,85333,0,0
0,1,0,0,0,0,female,46,0,0,43832,0,0
0,1,0,0,0,0,female,50,1,1,48646,1,0
0,1,0,0,0,0,male,48,0,1,77596,0,0
1,1,0,0,0,0,female,23,0,0,53377,0,1
1,0,0,0,0,1,female,45,1,1,67893,0,0
0,0,0,1,0,0,female,37,1,1,41500,1,0
0,0,0,0,1,0,male,50,1,1,91497,0,0
0,1,0,0,0,0,female,52,1,1,41648,1,0
0,0,0,1,0,0,female,58,1,1,66576,0,0
0,0,0,1,0,0,male,75,1,1,44627,1,1
1,1,0,0,0,0,male,76,1,1,62606,1,1
0,0,0,0,1,0,male,55,1,1,43262,1,0
0,1,0,0,0,0,male,51,1,1,36864,0,0
