"participantid","vote_prefer","treat","actor","female","inscrite","cousin_subject","education","vecu_ailleurs"
"175_v2",4,1,1,0,1,"1",5,1
"184_v2",4,0,1,0,1,"0",4,1
"186_v1",3,0,2,0,1,"0",5,1
"188_v1",4,0,2,0,1,"1",5,1
"188_v2",4,0,1,0,1,"0",5,1
"190_v1",5,0,1,1,1,"0",5,1
"191_v1",7,1,2,0,1,"1",2,1
"191_v2",4,1,1,0,1,"1",2,1
"192_v1",5,0,2,0,1,"0",5,0
"192_v2",2,1,1,0,1,"1",5,0
"195_v1",4,0,2,0,1,"0",5,0
"196_v1",4,0,1,0,1,"1",2,0
"198_v2",3,0,2,1,1,"0",4,1
"199_v2",5,1,1,0,1,"0",5,1
"200_v2",3,0,2,1,1,"0",4,1
"201_v1",4,0,2,1,1,"0",5,1
"202_v1",6,0,2,1,0,"0",2,1
"203_v2",3,1,2,0,1,"1",4,1
"205_v1",2,0,2,0,1,"0",3,1
"208_v1",5,1,2,0,1,"0",5,1
"209_v1",4,1,1,0,1,"0",5,1
"210_v1",6,0,2,0,NA,"0",5,1
"211_v2",6,0,1,0,1,"0",1,1
"216_v2",2,1,2,0,1,"1",3,1
"217_v1",5,1,2,1,1,"0",3,1
"217_v2",3,1,1,1,1,"0",3,1
"218_v1",3,0,1,0,1,"0",5,1
"219_v2",4,0,1,1,1,"0",3,1
"221_v2",5,0,2,1,1,"0",3,1
"222_v2",6,1,1,0,1,"0",3,1
"223_v2",3,0,2,1,1,"0",5,0
"225_v1",5,1,2,0,1,"1",5,1
"228_v1",4,0,2,1,1,"0",1,1
"231_v1",5,1,2,0,1,"1",5,1
"235_v1",7,1,1,1,1,"0",5,1
"237_v2",7,0,2,1,1,"0",5,1
"239_v2",5,1,2,1,1,"0",1,1
"240_v1",4,1,2,0,1,"0",NA,1
"247_v1",4,1,1,0,NA,"1",2,1
"249_v1",2,0,1,1,1,"1",2,0
"306_v1",3,1,2,0,1,"0",2,1
"310_v1",7,0,1,0,1,"0",2,0
"312_v1",6,0,2,0,0,"0",0,1
"314_v1",7,1,2,0,0,"0",2,1
"315",6,0,2,1,1,"0",5,1
"316_v2",6,0,2,1,1,"0",NA,1
"317_v2",6,0,2,0,0,"0",0,1
"322_v1",5,0,1,0,1,"0",0,1
"325_v2",7,1,1,0,1,"0",2,1
"326_v2",6,0,2,0,1,"0",0,1
"328_v2",4,0,1,0,1,"0",NA,1
"331_v2",4,0,1,0,1,"0",5,1
"333",7,1,1,0,1,"0",0,1
"335_v1",6,1,2,1,1,"0",5,1
"337_v1",5,1,2,0,0,"0",3,1
"338_v1",4,1,2,0,0,"0",3,1
"338_v2",6,0,1,0,0,"0",3,1
"339_v1",6,0,2,0,1,"0",6,1
"342_v1",6,0,2,0,0,"0",0,1
"342_v2",5,0,1,0,0,"0",0,1
"344_v2",7,1,1,0,1,"1",6,1
"346_v1",7,1,1,1,0,"0",4,1
"346_v2",6,0,2,1,0,"0",4,1
"348_v1",7,1,2,0,1,"1",6,1
"349_v2",7,0,1,0,0,"1",3,1
"351_v1",6,1,2,0,0,"0",4,1
"354_v1",5,1,2,1,1,"1",4,1
"355_v2",5,0,1,0,0,"0",3,1
"356_v1",7,0,2,0,1,"0",6,1
"359_v2",5,0,1,0,1,"0",4,1
"362_v1",7,1,2,0,0,"0",2,1
"362_v2",5,0,1,0,0,"0",2,1
"367",5,0,99,0,0,"0",2,1
"370_v1",7,1,2,0,1,"0",4,1
"370_v2",3,0,1,0,1,"0",4,1
"371",7,0,2,0,1,"0",3,1
"374_v1",7,0,1,0,0,"0",2,0
