"parcelId","propertyOffer","distanceToCreek","distToNoSquatted","parcelSurface","blockCorner"
1,0,2,0,204.089996337891,1
2,0,1,1,210.960006713867,0
3,0,1,1,308.839996337891,0
4,0,1,1,424.600006103516,0
5,0,1,1,519.669982910156,0
6,0,1,1,395.089996337891,0
7,0,1,1,297.899993896484,0
8,0,1,1,296.549987792969,0
9,0,1,1,212.929992675781,0
10,0,1,1,216.589996337891,1
11,0,0,2,200.539993286133,0
12,0,0,2,400.459991455078,0
13,0,0,2,494.910003662109,0
14,0,1,2,513.130004882812,0
15,0,1,2,213.100006103516,0
16,0,1,2,201.059997558594,1
17,0,2,1,193.5,0
18,0,2,1,265.799987792969,0
19,0,2,1,303.369995117188,0
20,0,2,1,400.369995117188,0
21,0,2,1,439.679992675781,0
22,0,2,1,417.829986572266,0
23,0,2,1,315.670013427734,0
24,0,2,1,196.789993286133,0
25,0,2,1,197.479995727539,1
26,0,2,0,236.5,0
27,0,2,0,327.720001220703,0
28,0,2,0,341,0
29,0,2,0,355.059997558594,0
30,0,2,0,272.660003662109,0
31,0,2,0,196.440002441406,0
32,0,0,2,292.779998779297,1
33,0,0,2,245.600006103516,0
34,0,0,2,248.179992675781,1
35,0,1,2,232.75,0
36,0,1,2,219.660003662109,1
37,0,2,1,203.169998168945,1
38,0,2,1,200.610000610352,0
39,0,2,1,263.290008544922,0
40,0,2,1,383.359985351562,0
41,0,2,1,485.079986572266,0
42,0,2,1,285.399993896484,0
43,0,2,1,174.899993896484,0
44,0,2,1,167.759994506836,1
45,0,2,1,190.619995117188,0
46,0,2,1,345.559997558594,0
47,0,2,1,436.760009765625,0
48,0,2,1,414.859985351562,0
49,0,2,1,453.809997558594,0
50,0,2,1,424.579986572266,0
51,0,2,1,349.119995117188,0
52,0,2,1,237.320007324219,0
53,0,2,1,229.880004882812,1
54,0,2,0,202.199996948242,0
55,0,2,0,277,0
56,0,2,0,374.529998779297,0
57,0,2,0,495.329986572266,0
58,0,2,0,294.950012207031,0
59,0,2,0,196.770004272461,0
60,0,2,0,197.279998779297,1
61,0,3,0,202.960006713867,0
62,0,3,0,299.720001220703,0
63,0,3,0,433.459991455078,0
64,0,3,0,407.700012207031,0
65,0,3,0,437.320007324219,0
66,0,3,0,395.359985351562,0
67,0,3,0,296.359985351562,0
68,0,3,0,214.639999389648,0
69,0,2,1,218.399993896484,1
70,0,1,2,187.789993286133,0
71,0,1,2,279.700012207031,0
72,0,1,2,181.130004882812,0
73,0,1,2,235.279998779297,1
74,0,0,2,268.279998779297,0
75,0,0,2,366.929992675781,0
76,0,0,2,412.299987792969,0
77,0,0,2,435.290008544922,0
78,0,0,2,462.899993896484,0
79,0,0,2,116.440002441406,0
80,0,0,2,393.359985351562,1
81,0,1,1,290.510009765625,0
82,0,1,1,363.160003662109,0
83,0,1,1,338.709991455078,0
84,0,1,1,409.779998779297,0
85,0,1,1,397.170013427734,0
86,0,1,1,297.809997558594,0
87,0,1,1,198.449996948242,0
88,0,1,1,197.710006713867,1
89,0,2,1,201.369995117188,0
90,0,2,1,298.940002441406,0
91,0,2,1,295.760009765625,0
92,0,2,1,308.850006103516,0
93,0,2,1,293.089996337891,0
94,0,2,1,284.25,0
95,0,2,1,279.130004882812,0
96,0,2,1,202.369995117188,0
97,0,2,1,284.529998779297,1
98,0,2,1,200.559997558594,0
99,0,2,1,300.869995117188,0
100,0,2,1,380.839996337891,0
101,0,2,1,396.640014648438,0
102,1,2,1,405.489990234375,0
103,1,2,1,296.529998779297,0
104,1,2,1,194.850006103516,0
105,1,2,1,172.830001831055,1
106,1,2,2,176.410003662109,0
107,1,2,2,271.100006103516,0
108,1,2,2,579.039978027344,0
109,1,2,2,432.119995117188,0
110,1,2,2,355.299987792969,0
111,1,2,2,256.25,0
112,1,2,2,280.600006103516,1
113,1,3,1,218.479995727539,0
114,1,3,1,302.950012207031,0
115,1,3,1,389.040008544922,0
116,0,3,0,500.829986572266,0
117,0,3,0,414.709991455078,0
118,0,3,0,397.459991455078,0
119,0,3,0,302.630004882812,0
120,0,3,0,194.270004272461,0
121,1,1,2,208.389999389648,1
122,1,1,2,300.429992675781,0
123,1,1,2,296.299987792969,0
124,1,1,2,280.869995117188,0
125,1,1,2,281.220001220703,0
126,1,1,2,281.119995117188,0
127,1,1,2,174.899993896484,1
128,1,1,3,162.960006713867,0
129,1,1,3,163.039993286133,0
130,1,1,3,428.869995117188,0
131,1,1,3,435.149993896484,0
132,1,1,3,437.329986572266,0
133,1,1,3,284.899993896484,0
134,1,1,3,251.059997558594,0
135,1,1,3,164.199996948242,0
136,1,1,3,190.360000610352,1
137,1,2,2,206.509994506836,0
138,1,2,2,399.549987792969,0
139,1,2,2,400.260009765625,0
140,1,2,2,302.260009765625,0
141,1,2,2,193.410003662109,0
142,1,2,2,193.410003662109,0
143,1,2,2,188.759994506836,1
144,1,2,2,268.269989013672,0
145,1,2,2,388.170013427734,0
146,1,2,2,419.570007324219,0
147,1,2,2,437.809997558594,0
148,1,2,2,437.619995117188,0
149,1,2,2,229.910003662109,0
150,1,2,2,221.350006103516,0
151,1,1,3,284.609985351562,1
152,1,1,3,140.100006103516,0
153,1,1,3,159.740005493164,0
154,1,1,3,179.320007324219,0
155,1,1,3,198.910003662109,0
156,1,1,3,218.479995727539,0
157,1,1,3,235.589996337891,0
158,1,1,3,236.389999389648,1
159,1,3,1,337.019989013672,0
160,1,3,1,247.240005493164,0
161,1,3,1,153.550003051758,0
162,1,3,1,183.570007324219,1
163,1,3,2,232.779998779297,0
164,1,3,2,321.959991455078,0
165,1,3,2,422.420013427734,0
166,1,3,2,420.329986572266,0
167,1,3,2,418.25,0
168,1,3,2,316.190002441406,0
169,1,3,2,209.860000610352,0
170,1,3,2,217.5,1
171,1,3,1,199.580001831055,0
172,1,3,1,297.339996337891,0
173,1,3,1,397.109985351562,0
174,1,3,2,151.820007324219,1
175,1,2,2,160.770004272461,0
176,1,2,2,257.890014648438,0
177,1,2,2,365.130004882812,0
178,1,2,2,366.059997558594,0
179,1,2,2,290.600006103516,0
180,1,2,2,179.050003051758,0
181,1,2,2,149.660003662109,1
182,1,2,2,149.440002441406,0
183,1,2,2,257.290008544922,0
184,1,2,2,369.399993896484,0
185,1,2,2,429.239990234375,0
186,1,2,2,422.609985351562,0
187,1,2,2,438.149993896484,0
188,1,2,2,277.839996337891,0
