"parcelId","householdId","propertyOffer","propertyRight","ageOrigSquatter","femaleOrigSquatter","argentineOrigSquatter","educationYearsOrigSquatter","argentineOrigSquatterFather","educYearsOrigSquatterFather","argentineOrigSquatterMother","educYearsOrigSquatterMother","successAlone","moneyImportant","effortBetter","trustOthers","marketBeliefs"
5,3,0,0,48,0,1,7,1,4,1,4,0,0,1,0,1
6,37,0,0,55,0,1,7,0,7,1,7,0,0,1,0,1
8,6,0,0,37,0,1,7,1,4,1,4,0,1,1,0,2
11,10,0,0,60,0,1,7,1,4,1,4,0,0,0,1,1
12,11,0,0,43,0,1,4,1,4,1,4,0,0,1,0,1
13,13,0,0,41,0,1,4,1,4,1,4,0,0,1,0,1
16,14,0,0,43,1,1,7,1,12,1,4,1,1,1,1,4
39,63,0,0,73,1,1,7,1,4,1,4,1,0,1,1,3
40,23,0,0,43,0,1,7,1,7,1,4,0,0,1,1,2
41,24,0,0,60,1,1,7,0,4,1,4,0,0,0,0,0
44,25,0,0,50,0,0,7,0,7,0,7,0,0,1,0,1
46,26,0,0,42,1,1,7,0,4,1,4,0,0,1,0,1
47,27,0,0,53,0,1,7,1,4,1,4,1,1,1,0,3
53,31,0,0,43,1,0,12,0,4,0,4,0,1,0,1,2
55,33,0,0,75,1,1,4,1,4,1,4,0,0,1,0,1
56,34,0,0,49,1,0,7,0,7,0,7,0,0,1,0,1
57,35,0,0,53,0,1,4,1,4,1,4,1,1,1,1,4
60,38,0,0,52,0,1,7,1,7,1,7,1,1,0,0,2
61,39,0,0,42,0,1,7,1,7,1,7,0,1,0,0,1
62,40,0,0,45,0,1,7,1,7,1,4,0,0,1,1,2
65,42,0,0,36,0,1,7,1,4,1,7,1,0,1,1,3
66,43,0,0,50,1,1,7,1,4,1,4,1,0,1,0,2
67,44,0,0,41,1,0,7,0,4,0,4,1,0,1,0,2
69,45,0,0,42,0,1,4,1,4,0,4,0,0,1,1,2
72,46,0,0,47,1,1,4,0,7,0,7,0,0,1,0,1
73,47,0,0,39,0,1,7,0,7,0,7,0,0,1,1,2
76,8,0,0,62,1,1,7,1,4,1,4,0,1,0,0,1
85,91,0,0,42,0,1,4,1,4,1,4,1,1,1,1,4
88,53,0,0,51,1,1,4,1,4,0,4,0,0,1,0,1
89,54,0,0,52,0,1,4,1,4,0,4,1,0,1,0,2
91,55,0,0,45,1,1,4,0,4,0,4,0,1,0,0,1
100,56,0,0,45,0,1,4,0,4,0,4,0,1,1,0,2
101,57,0,0,42,1,1,7,0,7,0,7,0,1,1,0,2
112,20,1,1,45,1,1,4,1,4,1,4,1,0,1,0,2
113,60,1,1,43,1,1,7,1,4,1,7,1,0,1,1,3
116,61,0,0,68,0,1,4,1,4,1,4,1,0,0,0,1
118,64,0,0,62,1,1,4,1,4,1,4,0,0,1,0,1
120,65,0,0,42,1,1,7,1,4,1,4,0,1,1,0,2
123,66,1,1,45,1,1,4,1,4,1,4,0,1,0,0,1
140,67,1,1,33,0,1,7,1,4,1,4,0,1,1,0,2
144,69,1,1,53,0,1,4,1,4,1,4,1,1,1,0,3
145,70,1,1,48,1,1,9,0,4,1,7,0,1,0,0,1
147,71,1,1,43,1,1,7,1,4,1,4,1,0,0,1,2
163,75,1,1,40,0,1,7,1,7,1,7,0,1,1,0,2
164,76,1,1,44,0,1,4,1,4,1,7,0,1,1,1,3
170,77,1,1,53,0,1,4,1,4,1,4,0,1,0,0,1
172,78,1,1,45,0,1,7,1,7,1,7,1,0,1,0,2
180,80,1,0,45,0,1,7,1,7,1,4,0,1,0,0,1
188,81,1,1,39,0,1,7,1,4,1,4,0,0,1,1,2
189,82,1,1,68,1,1,7,1,4,1,4,0,0,1,0,1
194,83,1,1,52,1,1,7,1,4,1,4,1,0,0,0,1
205,85,1,1,57,0,1,9,1,4,1,7,1,0,0,0,1
225,86,1,1,NA,0,1,7,1,4,1,4,0,0,1,1,2
244,87,1,1,62,0,1,4,1,4,1,4,0,0,1,1,2
246,88,1,1,41,0,0,12,0,7,0,7,1,1,1,1,4
272,92,1,1,47,1,1,7,1,4,1,4,1,1,0,1,3
280,93,1,1,61,0,1,4,1,4,1,4,1,1,1,1,4
283,94,1,1,58,0,1,7,1,4,1,4,0,0,1,0,1
303,246,0,0,42,0,1,4,1,4,1,4,0,0,1,0,1
307,247,0,0,64,0,0,7,1,4,0,7,0,1,1,0,2
315,250,0,0,51,0,0,9,0,7,0,7,0,1,1,0,2
321,251,0,0,50,0,1,4,1,4,1,4,0,1,1,0,2
328,256,0,0,40,0,1,7,1,7,1,7,1,1,0,0,2
350,95,0,0,43,0,1,4,1,4,1,4,0,0,1,0,1
353,96,0,0,74,0,1,4,1,4,1,4,0,0,1,1,2
354,97,0,0,55,0,0,7,0,4,0,4,0,1,1,0,2
356,100,0,0,45,0,1,7,0,4,1,4,0,0,0,0,0
358,101,0,0,40,0,1,7,1,4,1,4,0,1,1,1,3
359,102,0,0,41,0,1,9,1,4,1,4,0,0,1,0,1
361,104,0,0,57,1,1,4,1,4,1,4,0,0,1,0,1
372,111,0,0,54,0,1,4,1,4,1,4,0,1,1,0,2
376,115,0,0,62,0,1,4,1,4,1,4,0,0,1,0,1
377,116,0,0,46,0,1,7,1,4,1,4,0,0,1,1,2
390,117,0,0,65,0,1,7,1,4,1,4,0,1,0,0,1
395,118,0,0,47,0,1,7,1,4,1,4,0,0,0,1,1
397,119,0,0,42,0,1,7,1,7,1,4,0,1,1,1,3
406,99,0,0,38,0,1,7,1,4,1,4,0,0,0,0,0
